country,city,zone,metric,current_value,value_1w_ago,value_5w_ago,delta_1w,delta_5w
AR,Buenos Aires,Bs As Sur Barrio San Jose,Non-Pro PTC > OP,0.7341478644,0.7148475223,0.7607450707,0.01930034209999998,-0.026597206299999954
AR,Buenos Aires,Bs As Sur Barrio San Jose,Perfect Orders,0.9124012519,0.9092555755,0.8974816484,0.0031456763999999637,0.01491960349999999
AR,Buenos Aires,Bs As Sur Barrio San Jose,Pro Adoption (Last Week Status),0.3034482759,0.2744525547,0.2528089888,0.02899572119999999,0.050639287099999986
AR,Buenos Aires,Bs As Sur Barrio San Jose,Restaurants Markdowns / GMV,0.1077759523,0.1019037118,0.1235878307,0.0058722405000000005,-0.015811878399999993
AR,Buenos Aires,Bs As Sur Barrio San Jose,Restaurants SS > ATC CVR,0.4363471122,0.4433257521,0.3991494544,-0.006978639900000028,0.037197657800000006
AR,Buenos Aires,Bs As Sur Barrio San Jose,Restaurants SST > SS CVR,0.9005420741,0.9084150863,0.8889048539,-0.007873012200000029,0.01163722020000002
AR,Buenos Aires,Bs As Sur Barrio San Jose,Retail SST > SS CVR,0.8594351656,0.8489965914,0.8645031068,0.01043857420000005,-0.005067941199999981
AR,Buenos Aires,CABALLITO,% PRO Users Who Breakeven,0.4722080159,0.4795239383,0.4723504899,-0.007315922400000008,-0.00014247400000000354
AR,Buenos Aires,CABALLITO,% Restaurants Sessions With Optimal Assortment,0.9713142733,0.9714485248,0.9690121409,-0.0001342515000000155,0.00230213239999999
AR,Buenos Aires,CABALLITO,Gross Profit UE,2.974062294,4.512869804,3.35728872,-1.5388075100000003,-0.38322642600000023
AR,Buenos Aires,CABALLITO,Lead Penetration,0.3049925205,0.3027608969,0.3009645994,0.0022316235999999545,0.004027921099999998
AR,Buenos Aires,CABALLITO,MLTV Top Verticals Adoption,0.3598425884,0.3666517326,0.3712159818,-0.006809144200000006,-0.011373393399999987
