country,city,zone,metric,week,week_label,value
BR,Rio De Janeiro,Tijuca,Orders,8,l8w,3410.0
CO,Santa Marta,Rodadero,Orders,8,l8w,3400.0
PE,Arequipa,Bustamante y Rivero,Orders,8,l8w,3392.0
MX,Guadalajara,Las Pintas-Aeropuerto,Orders,8,l8w,3372.0
MX,Campeche,CAMP Centro,Orders,8,l8w,3366.0
MX,La Paz,LA PAZ,Orders,8,l8w,3361.0
MX,Valle De Chalco,Valle_de_Chalco,Orders,8,l8w,3360.0
MX,Ciudad Del Carmen,Cd del carmen,Orders,8,l8w,3332.0
PE,Cusco,Centro Cusco,Orders,8,l8w,3326.0
MX,Culiacan,Villa_Universidad,Orders,8,l8w,3306.0
MX,Playa Del Carmen,PDC_Centro,Orders,8,l8w,3298.0
AR,Buenos Aires,Monte Grande,Orders,8,l8w,3290.0
MX,Matamoros,Mat_zona_centro,Orders,8,l8w,3288.0
MX,Aguascalientes,AGS_Centro,Orders,8,l8w,3287.0
MX,Ciudad Juarez,JRZ_SanLorenzo,Orders,8,l8w,3255.0
MX,Reynosa,Rey_benito_juarez,Orders,8,l8w,3235.0
MX,Coatzacoalcos,Coatzacoalcos,Orders,8,l8w,3194.0
AR,Buenos Aires,Castelar - Ituzaingo,Orders,8,l8w,3179.0
AR,Cordoba,CORDOBA_COLON,Orders,8,l8w,3152.0
MX,Saltillo,Sal_Ramos Arizpe,Orders,8,l8w,3152.0
BR,Rio De Janeiro,Jardim Oceanico,Orders,8,l8w,3142.0
CL,Santiago De Chile,la_cisterna_san_miguel,Orders,8,l8w,3138.0
CO,Sincelejo,Sincelejo,Orders,8,l8w,3130.0
MX,Mazatlan,Maz_2,Orders,8,l8w,3127.0
PE,Lima,Pumacahua,Orders,8,l8w,3117.0
AR,Cordoba,General Paz,Orders,8,l8w,3066.0
MX,Cancun,Cun_Hacienda-Valle Verde,Orders,8,l8w,3055.0
MX,Culiacan,21_de_Marzo,Orders,8,l8w,3055.0
MX,Mexicali,MXL_Sur,Orders,8,l8w,3036.0
EC,Guayaquil,Urdesa,Orders,8,l8w,3036.0
PE,Lima,La Florida,Orders,8,l8w,2979.0
CO,Barranquilla,Barranquilla sur,Orders,8,l8w,2960.0
AR,Buenos Aires,San Fernando - Tigre,Orders,8,l8w,2949.0
MX,Cancun,Cun Alfredo bonfil,Orders,8,l8w,2944.0
MX,Chilpancingo De Los Bravo,Chilpancingo Norte,Orders,8,l8w,2936.0
CO,Valledupar,La elvira,Orders,8,l8w,2870.0
AR,Neuquen,Neuquen Centro,Orders,8,l8w,2865.0
MX,Toluca,Tol_Toltepec-lerma,Orders,8,l8w,2842.0
MX,Ciudad De Mexico,CDMX_Cuautitlán_Izcalli_Centro,Orders,8,l8w,2841.0
AR,Mar Del Plata,MAR_DEL_PLATA_SUR,Orders,8,l8w,2839.0
CO,Valledupar,El viajero,Orders,8,l8w,2818.0
MX,Merida,MID_CHOLUL,Orders,8,l8w,2797.0
BR,Belo Horizonte,MG - BH - Buritis e Belvedere,Orders,8,l8w,2787.0
MX,Acapulco,ACA la costera,Orders,8,l8w,2779.0
MX,Hermosillo,Hmo_Sur,Orders,8,l8w,2756.0
AR,Cordoba,Cordoba Zona Sur,Orders,8,l8w,2746.0
MX,Ciudad Obregon,COB_OBREGON,Orders,8,l8w,2740.0
AR,Buenos Aires,Boulogne,Orders,8,l8w,2733.0
BR,Recife,PE - OLD - Zona Oeste,Orders,8,l8w,2723.0
MX,Ciudad Juarez,JRZ_Centro,Orders,8,l8w,2701.0
MX,Veracruz,VER_Río Medio-Amapolas,Orders,8,l8w,2694.0
PE,Cusco,Magisterio,Orders,8,l8w,2694.0
EC,Quito,Cumbaya,Orders,8,l8w,2685.0
MX,Cordoba,Cordoba,Orders,8,l8w,2670.0
CO,Barranquilla,Soledad,Orders,8,l8w,2635.0
CO,Palmira,Palmira oriente,Orders,8,l8w,2626.0
MX,Puerto Vallarta,Pvr_NuevoVallarta,Orders,8,l8w,2610.0
PE,Arequipa,Arequipa Sur,Orders,8,l8w,2610.0
MX,Toluca,Tol_Metepec,Orders,8,l8w,2599.0
MX,Cd. Victoria,CdVictoria_centro_Aguayo_Santander,Orders,8,l8w,2591.0
BR,Rio De Janeiro,Flamengo,Orders,8,l8w,2589.0
MX,Acapulco,ACA las brisas,Orders,8,l8w,2546.0
MX,Irapuato,Irapuato,Orders,8,l8w,2516.0
BR,Porto Alegre,RS - POA - Moinhos de Vento,Orders,8,l8w,2515.0
AR,Parana,Parana,Orders,8,l8w,2480.0
BR,Rio De Janeiro,Reserva,Orders,8,l8w,2466.0
MX,Tijuana,TIJ_Santa_Fe,Orders,8,l8w,2445.0
AR,San Miguel De Tucuman,Tucuman,Orders,8,l8w,2411.0
AR,Cordoba,CORDOBA_CERRO_ROSAS,Orders,8,l8w,2409.0
CL,Viña Del Mar,Concón,Orders,8,l8w,2400.0
MX,Cancun,Cun_Pedregal,Orders,8,l8w,2394.0
MX,Tuxtla Gutierrez,TUX Albania,Orders,8,l8w,2385.0
MX,Nuevo Laredo,Nlar_aeropuerto,Orders,8,l8w,2382.0
CO,Valledupar,San Jorge,Orders,8,l8w,2360.0
CO,Pereira,SAMARIA_2_PEI,Orders,8,l8w,2332.0
MX,Xalapa,Xalapa Bugambilias,Orders,8,l8w,2324.0
PE,Piura,Miraflores Centro,Orders,8,l8w,2321.0
BR,Grande São Paulo,SP - SP - Campo Limpo/Capão,Orders,8,l8w,2308.0
PE,Punta Hermosa,Sur Chico Playas,Orders,8,l8w,2307.0
AR,Rosario,Rosario Sur,Orders,8,l8w,2298.0
CO,Cartagena,La siriaca,Orders,8,l8w,2292.0
CO,Palmira,Palmira occidente,Orders,8,l8w,2280.0
MX,Tampico,Tam_Altamira,Orders,8,l8w,2263.0
EC,Guayaquil,Sauces,Orders,8,l8w,2253.0
MX,Piedras Negras,PDN_Piedras_Negras,Orders,8,l8w,2235.0
MX,Celaya,Celaya,Orders,8,l8w,2234.0
AR,Buenos Aires,Quilmes,Orders,8,l8w,2225.0
MX,San Jose Del Cabo,San Jose del Cabo,Orders,8,l8w,2224.0
BR,Grande São Paulo,SP - SP - Limao/Casa Verde,Orders,8,l8w,2211.0
BR,Rio De Janeiro,Barra,Orders,8,l8w,2204.0
CO,Rionegro,Llano_grande,Orders,8,l8w,2202.0
BR,Campinas,SP - CPS - Cambuí/Centro,Orders,8,l8w,2199.0
CL,Santiago De Chile,Recoleta,Orders,8,l8w,2190.0
CO,Cartagena,Centro Historico,Orders,8,l8w,2167.0
MX,Mexicali,MXL_Universidad,Orders,8,l8w,2155.0
MX,Ciudad De Mexico,CDMX_Cuautitlan_Melchor_Ocampo,Orders,8,l8w,2147.0
PE,Lima,El Carmen,Orders,8,l8w,2135.0
MX,Aguascalientes,AGS_Industrial Sur,Orders,8,l8w,2131.0
BR,Rio De Janeiro,Gavea,Orders,8,l8w,2125.0
MX,Villahermosa,VSA_Centro,Orders,8,l8w,2113.0
MX,Pachuca,PCH Zona Plateada,Orders,8,l8w,2108.0
BR,Curitiba,PR - CWB - Cristo Rei/Juveve,Orders,8,l8w,2085.0
CL,Santiago De Chile,San Carlos de Apoquindo,Orders,8,l8w,2053.0
MX,San Juan Del Rio,SAN JUAN DEL RIO,Orders,8,l8w,2041.0
MX,Xalapa,Xalapa Revolucion,Orders,8,l8w,2039.0
BR,Rio De Janeiro,Praia da Macumba,Orders,8,l8w,2036.0
AR,Cordoba,Nueva Cordoba,Orders,8,l8w,2007.0
MX,Pachuca,PCH_Calera-Saucillo,Orders,8,l8w,1988.0
MX,Tijuana,TIJ_Hipodromo,Orders,8,l8w,1977.0
MX,Chilpancingo De Los Bravo,Chilpancingo Sur,Orders,8,l8w,1956.0
MX,Chetumal,Chetumal,Orders,8,l8w,1937.0
MX,San Luis Potosi,SLP_Morales_Saucito,Orders,8,l8w,1937.0
MX,San Luis Potosi,SLP_Soledad,Orders,8,l8w,1929.0
AR,Cordoba,Sabattini Altamira,Orders,8,l8w,1929.0
MX,Leon,LEO_Sur,Orders,8,l8w,1919.0
MX,Toluca,Tol_Zinacantepec_Centro,Orders,8,l8w,1893.0
PE,Arequipa,Misti Norte,Orders,8,l8w,1873.0
MX,Aguascalientes,AGS_Canteras,Orders,8,l8w,1856.0
CL,Santiago De Chile,Independencia,Orders,8,l8w,1842.0
CO,Tulua,Tulua,Orders,8,l8w,1840.0
BR,Curitiba,PR - CWB - Novo Mundo,Orders,8,l8w,1827.0
CL,Viña Del Mar,Valparaíso,Orders,8,l8w,1814.0
MX,Campeche,CAMP Fidel Velazquez,Orders,8,l8w,1800.0
UY,Montevideo,Pocitos,Orders,8,l8w,1789.0
PE,Lima,Ate Centro,Orders,8,l8w,1768.0
MX,Chihuahua,CH_Periferico,Orders,8,l8w,1760.0
CL,Santiago De Chile,puente_alto,Orders,8,l8w,1756.0
MX,Durango,Dgo_fidel_velazquez,Orders,8,l8w,1753.0
CO,Girardot,Girardot,Orders,8,l8w,1752.0
MX,Villahermosa,VSA_Florida,Orders,8,l8w,1734.0
MX,Durango,Dgo_el_refugio,Orders,8,l8w,1730.0
MX,Tuxtla Gutierrez,TUX Jardines,Orders,8,l8w,1726.0
AR,Cordoba,Villa Adela,Orders,8,l8w,1708.0
MX,Toluca,Tol_Teconlógico-Bicentenario,Orders,8,l8w,1694.0
AR,Buenos Aires,Hurlingham,Orders,8,l8w,1691.0
PE,Arequipa,PichuPichu Este,Orders,8,l8w,1685.0
MX,Ciudad Juarez,JRZ_Torres,Orders,8,l8w,1683.0
BR,Grande São Paulo,SP - SP - Raposo/Rio Pequeno,Orders,8,l8w,1681.0
MX,Chihuahua,CH_TECNOLOGICO,Orders,8,l8w,1673.0
BR,Grande São Paulo,SP - SP - Vila Formosa/Carrao,Orders,8,l8w,1672.0
CO,Yopal,Yopal,Orders,8,l8w,1672.0
MX,Poza Rica De Hidalgo,Poza Rica Hidalgo,Orders,8,l8w,1671.0
MX,Pachuca,PCH Sur,Orders,8,l8w,1664.0
CO,Popayan,Popayan Norte,Orders,8,l8w,1648.0
BR,Rio De Janeiro,Recreio,Orders,8,l8w,1632.0
BR,Belo Horizonte,MG - BHZ - Cachoeirinha,Orders,8,l8w,1630.0
MX,Guaymas,Guaymas,Orders,8,l8w,1628.0
BR,Recife,PE - REC - Centro,Orders,8,l8w,1624.0
MX,Tepic,TEP_CENTRO_MOLOLOA,Orders,8,l8w,1620.0
MX,Tulancingo,TGO Centro,Orders,8,l8w,1618.0
MX,Cuernavaca,CVA-Temixco,Orders,8,l8w,1618.0
CO,Mosquera/ Funza,Madrid,Orders,8,l8w,1610.0
CO,Zipaquira,Zipaquira,Orders,8,l8w,1606.0
MX,Durango,Dgo_los_viñedos,Orders,8,l8w,1599.0
PE,Lima,Huachipa,Orders,8,l8w,1590.0
CO,Cartagena,Horizonte Campanos,Orders,8,l8w,1587.0
